       CODIGO ;       DESCRIPCION ;            MARCA ;   CONTENIDO ;    UNIDADES POR CAJA ;  PRECIO POR CAJA;STOCK CAJA ;             AROMAS
7804670070478;conforte ovella 22 metros;ovella;packs x6;8; $8.490 ;2;
7806500508533;confort noble 22 metros;noble;packs x6;8; $9.890 ;30;
7804670070355;conforte ovella de 50 metros;ovella;packs x4;8; $13.490 ;5;
7804653341601;nova suan ultra x70;suan;70 metros;8; $13.690 ;13;
7804670070461;nova ovella roja xl;ovella;100 metros;6; $7.500 ;7;
7806500241201;servilleta nova pack familiar;nova ;300 unidaes;20; $21.000 ;5;
7806500401339;nova clasica giganrte x70;nova ;70 metros;8; $13.690 ;189;
7806500406884;nova clasica x3;nova ;packs x3;8; $6.490 ;70;
7804670070522;nova ovella gigante de 100 metros;ovella;100 metros;6; $13.690 ;22;
7806500752202;pañal babysec ;babysec;14 unidades;8; $20.500 ;56;
7804670490467;pañal para adulto care up x16;care up;16 unidades;16; $9.500 ;19;
7804670490436;pañal para adulto caree up x 20;care up;20 unidades;20; $11.990 ;10;
7804670490474;sabanilla care up x8;care up;8 unidades;8; $4.290 ;8;
7804670490481;aposito multiuso care up;care up;20 unidades;20; $2.790 ;10;
12345;paños amarillos;;360 unidades;1; $64.800 ;11;
